neu_theta_1,neu_gamma_1,neu_e_1,sel_theta,sel_shape,sel_scale,sel_e,lnL,converged,bounds,rep,region,bin,proportion
0.000444070501495451,0,0.0,0.000444070501495451,0.35366640827303,233.33925077381,0.0440343405634303,18117.585044241598,True,neu_e_1,0,0fold-enhancers,0.0 - 1.0,0.2653001813144921
0.000444070501495451,0,0.0,0.000444070501495451,0.35366640827303,233.33925077381,0.0440343405634303,18117.585044241598,True,neu_e_1,0,0fold-enhancers,1.0 - 10.0,0.31068020793061857
0.000444070501495451,0,0.0,0.000444070501495451,0.35366640827303,233.33925077381,0.0440343405634303,18117.585044241598,True,neu_e_1,0,0fold-enhancers,10.0 - 100.0,0.3844550826189367
0.000444070501495451,0,0.0,0.000444070501495451,0.35366640827303,233.33925077381,0.0440343405634303,18117.585044241598,True,neu_e_1,0,0fold-enhancers,100.0 - inf,0.03956452813588601
0.00044096519624539404,0,0.0,0.00044096519624539404,0.23758638050145,508.258814577411,0.0667820938117263,18343.6868466493,True,neu_e_1,1,0fold-enhancers,0.0 - 1.0,0.3474317767917028
0.00044096519624539404,0,0.0,0.00044096519624539404,0.23758638050145,508.258814577411,0.0667820938117263,18343.6868466493,True,neu_e_1,1,0fold-enhancers,1.0 - 10.0,0.24500487182556335
0.00044096519624539404,0,0.0,0.00044096519624539404,0.23758638050145,508.258814577411,0.0667820938117263,18343.6868466493,True,neu_e_1,1,0fold-enhancers,10.0 - 100.0,0.3185529264937542
0.00044096519624539404,0,0.0,0.00044096519624539404,0.23758638050145,508.258814577411,0.0667820938117263,18343.6868466493,True,neu_e_1,1,0fold-enhancers,100.0 - inf,0.08901042489851675
0.000423889365778388,0,2.22044604925031e-18,0.000423889365778388,0.310279396906699,279.365749921251,0.0351523416661362,16474.0080687178,True,nan,2,0fold-enhancers,0.0 - 1.0,0.2978857622118643
0.000423889365778388,0,2.22044604925031e-18,0.000423889365778388,0.310279396906699,279.365749921251,0.0351523416661362,16474.0080687178,True,nan,2,0fold-enhancers,1.0 - 10.0,0.2928809084282194
0.000423889365778388,0,2.22044604925031e-18,0.000423889365778388,0.310279396906699,279.365749921251,0.0351523416661362,16474.0080687178,True,nan,2,0fold-enhancers,10.0 - 100.0,0.36106589687784224
0.000423889365778388,0,2.22044604925031e-18,0.000423889365778388,0.310279396906699,279.365749921251,0.0351523416661362,16474.0080687178,True,nan,2,0fold-enhancers,100.0 - inf,0.04816743248207618
0.000420671026221103,0,0.0,0.000420671026221103,0.35634280086750997,223.623054390109,0.052610876908796005,17401.3747467149,True,neu_e_1,3,0fold-enhancers,0.0 - 1.0,0.2664551590277856
0.000420671026221103,0,0.0,0.000420671026221103,0.35634280086750997,223.623054390109,0.052610876908796005,17401.3747467149,True,neu_e_1,3,0fold-enhancers,1.0 - 10.0,0.31451578381503165
0.000420671026221103,0,0.0,0.000420671026221103,0.35634280086750997,223.623054390109,0.052610876908796005,17401.3747467149,True,neu_e_1,3,0fold-enhancers,10.0 - 100.0,0.3826656815430506
0.000420671026221103,0,0.0,0.000420671026221103,0.35634280086750997,223.623054390109,0.052610876908796005,17401.3747467149,True,neu_e_1,3,0fold-enhancers,100.0 - inf,0.03636337561413012
0.000443266437286538,0,2.22044604925031e-18,0.000443266437286538,0.40342639464196706,175.13327045385103,0.0337660049136041,18443.0528262757,True,nan,4,0fold-enhancers,0.0 - 1.0,0.24380747151091026
0.000443266437286538,0,2.22044604925031e-18,0.000443266437286538,0.40342639464196706,175.13327045385103,0.0337660049136041,18443.0528262757,True,nan,4,0fold-enhancers,1.0 - 10.0,0.3392998232841355
0.000443266437286538,0,2.22044604925031e-18,0.000443266437286538,0.40342639464196706,175.13327045385103,0.0337660049136041,18443.0528262757,True,nan,4,0fold-enhancers,10.0 - 100.0,0.39332055653727754
0.000443266437286538,0,2.22044604925031e-18,0.000443266437286538,0.40342639464196706,175.13327045385103,0.0337660049136041,18443.0528262757,True,nan,4,0fold-enhancers,100.0 - inf,0.02357214866764627
