bs_rep	neu_sfs	neu_call	sel_sfs	sel_call
12	427,157,108,102,62,61,73,62,41,48,29,24,35,24,26,34,39,14,36,29,24,12,11,14,11,10,10,32,14,23,14,10,17,4,20,18,13,13,8,9,4,10,9,8,12,9,24,8,10,20,15,17,18,6,12,38,20,39,37	923078	323,135,107,80,67,47,36,18,33,34,27,23,20,24,19,12,14,15,33,14,19,13,12,8,6,12,7,8,13,6,8,8,7,12,12,11,5,7,6,5,7,9,8,10,6,11,3,4,9,14,6,17,7,6,7,4,6,12,14	687514
13	436,193,118,74,56,61,62,64,47,41,24,27,34,33,19,31,37,19,29,23,11,17,13,17,21,13,18,25,7,18,9,9,21,3,16,16,17,18,7,10,10,13,20,12,15,15,28,13,10,24,13,20,21,8,21,24,27,41,36	892887	307,144,79,72,56,46,42,24,31,33,27,25,14,22,17,28,16,14,26,10,22,17,9,11,6,13,6,15,19,10,15,5,5,11,8,15,9,12,7,6,9,12,4,5,4,6,3,8,16,10,1,16,7,2,10,4,6,7,12	684891
14	415,198,116,100,68,78,75,53,35,32,28,26,48,43,25,34,45,29,35,19,21,24,9,17,23,13,13,27,15,18,10,9,11,3,10,20,27,10,12,10,21,10,20,12,18,9,9,12,21,33,17,17,20,18,14,21,24,40,38	930939	334,124,100,64,67,57,52,32,37,30,38,25,16,31,17,17,13,16,23,16,15,17,13,16,10,17,4,6,19,10,12,13,12,11,11,10,5,11,8,8,7,7,12,12,7,13,5,5,13,12,4,22,7,8,14,7,9,12,19	688776
15	412,146,123,80,67,78,64,43,37,38,31,28,32,49,34,30,38,16,24,12,8,15,15,19,16,14,9,25,12,21,15,11,15,6,12,21,18,10,5,8,16,18,11,9,15,12,16,10,14,19,17,11,23,7,13,15,27,23,32	898740	359,127,108,81,62,44,31,16,33,33,23,26,18,20,12,14,16,10,14,13,13,12,16,7,9,20,8,14,13,8,7,12,11,19,14,4,12,9,11,10,9,10,8,9,8,7,7,6,18,10,6,17,7,10,11,8,7,20,16	674348
16	429,154,117,110,66,67,68,50,44,48,23,31,35,29,26,32,48,20,29,15,15,16,11,19,12,13,13,20,19,18,15,9,9,5,19,21,15,9,5,8,23,10,11,10,13,13,14,9,5,16,9,16,15,12,12,21,26,29,48	897347	328,130,97,82,65,73,48,23,29,34,32,29,18,25,13,17,20,11,30,27,16,10,10,14,9,29,7,7,19,9,9,11,6,20,14,7,8,13,6,8,14,12,6,7,6,10,8,5,14,11,3,18,2,10,9,6,2,9,19	681323
17	390,187,88,88,66,53,67,44,48,27,24,29,27,43,32,20,39,14,31,18,20,12,9,12,14,6,10,31,13,13,18,11,13,5,18,18,18,12,12,9,19,12,13,8,12,10,18,6,15,25,9,21,12,13,18,21,29,37,37	839636	353,125,102,65,61,76,51,30,33,40,30,21,16,12,21,19,16,14,18,9,12,16,17,9,9,11,4,8,20,11,14,11,9,18,4,6,7,15,5,4,15,6,9,7,7,11,4,3,10,10,2,20,4,12,10,8,4,13,30	669441
18	429,181,106,93,52,65,87,39,44,36,14,34,38,36,25,29,39,18,27,13,19,18,15,10,27,13,10,26,15,16,14,15,12,4,9,20,21,9,5,7,11,6,17,9,20,11,6,7,13,14,11,13,21,8,12,19,22,35,37	875432	324,156,99,72,64,56,28,19,37,38,25,23,21,26,20,19,20,25,21,23,20,9,15,15,3,6,6,9,17,7,15,14,12,10,8,9,9,15,2,7,10,15,13,7,4,10,8,6,7,5,4,24,6,10,10,5,4,18,24	688437
19	401,174,83,74,60,69,60,53,48,42,21,19,33,31,22,21,30,12,21,16,8,18,5,20,15,9,9,18,15,14,12,16,15,7,20,13,16,15,4,11,12,10,23,13,15,13,14,15,11,20,18,12,12,12,14,22,37,32,41	858404	329,131,102,62,60,51,47,28,30,32,30,25,20,23,21,32,22,20,33,13,6,15,14,6,6,17,5,8,15,10,14,13,8,10,8,15,6,8,9,5,11,12,5,4,6,9,10,4,19,10,2,16,3,6,13,4,8,12,30	674734
20	406,195,115,102,53,47,64,60,49,48,29,23,40,43,21,23,31,11,39,20,19,20,4,11,18,6,10,32,22,24,16,16,13,5,19,14,25,7,7,9,16,11,13,14,16,12,11,10,18,22,11,20,16,8,17,24,22,27,36	911505	344,133,86,82,82,53,43,26,14,39,32,15,20,29,17,23,18,20,25,12,12,17,11,10,2,15,6,8,14,8,14,14,12,15,10,11,3,11,8,5,7,6,14,7,8,13,7,7,9,8,4,14,4,9,8,7,9,11,21	678438
21	380,158,103,82,63,66,54,56,31,43,26,30,28,36,20,23,36,17,27,17,16,22,7,20,15,13,9,20,18,12,13,12,10,6,14,28,15,11,8,4,16,8,10,10,10,9,17,13,8,18,11,12,21,12,18,32,18,32,22	852204	347,136,108,76,56,43,30,24,27,28,27,22,15,26,13,14,15,18,25,20,12,8,15,5,7,7,7,9,11,6,10,16,9,12,11,12,9,7,6,2,13,9,7,9,8,12,2,10,17,16,1,23,8,11,7,8,8,13,25	684076
