run,imp,exit_code,neu_theta_1,neu_gamma_1,neu_e_1,sel_theta,sel_shape,sel_scale,sel_e,lnL,converged,bounds,rep,region
867,1,3,0.000471615695735018,0,0.0729962318900483,0.000471615695735018,0.001,0.1,0.0736828396286216,62007.5004321001,True,sel_shape;sel_scale;r_59,0,intron-enhancers
428,1,3,0.000466822126523884,0,0.0820106268617497,0.000466822126523884,0.001,0.1,0.078682413624719,60907.934019833,True,sel_shape;sel_scale;r_59,1,intron-enhancers
840,1,3,0.000457791147278945,0,0.0736191085939263,0.000457791147278945,0.001,0.1,0.0628936522106096,60860.868449579,True,sel_shape;sel_scale;r_59,2,intron-enhancers
440,1,3,0.000458148319305415,0,0.074963506453545,0.000458148319305415,0.001,0.1,0.0820884908115687,60848.2618297808,True,sel_shape;sel_scale;r_59,3,intron-enhancers
70,1,3,0.000479740667286437,0,0.0677989420736545,0.000479740667286437,0.001,0.1,0.0635272485781803,63405.6669515893,True,sel_shape;sel_scale;r_59,4,intron-enhancers
767,1,3,0.000467940436778922,0,0.0733676347545903,0.000467940436778922,0.001,0.1,0.0780465753392212,60570.8152159987,True,sel_shape;sel_scale;r_59,5,intron-enhancers
575,1,3,0.000465457527283362,0,0.0752138331371375,0.000465457527283362,0.001,0.1,0.0778062581085631,60219.859080188,True,sel_shape;sel_scale,6,intron-enhancers
676,1,3,0.000486324223385138,0,0.0639977285788512,0.000486324223385138,0.001,0.1,0.0789920576584059,61778.2711974291,True,sel_shape;sel_scale;r_59,7,intron-enhancers
117,1,3,0.000469576329348797,0,0.0743235078644653,0.000469576329348797,0.001,0.1,0.0787669821835629,60496.659360786,True,sel_shape;sel_scale,8,intron-enhancers
855,1,3,0.000479490979729728,0,0.0703200475000227,0.000479490979729728,0.001,0.1,0.0755504724857224,61886.9343337458,True,sel_shape;sel_scale,9,intron-enhancers
