region,bs_rep,theta,shape,scale,mean_gamma,alpha,omega
all-enhancers,0,0.000476432522698825,1.8284421272411,0.1,0.18284421272411,-0.3748279310059588,-0.24888266421678273
all-enhancers,1,0.000446146955429081,1.98155898595109,0.1,0.19815589859510901,-0.3642177666557922,-0.24183760232889107
all-enhancers,2,0.000471094666740549,3.06180748957053,0.1,0.306180748957053,-0.29101155244101906,-0.1932292780183219
all-enhancers,3,0.000469193731709302,0.0048087576353047,25.6701369788823,0.12344146719651779,-0.4863947849738943,-0.3229621379083607
all-enhancers,4,0.000453695400065361,0.0664188107103429,4.30539131117385,0.28595897053081104,-0.38931932824018634,-0.2585048328267867
all-enhancers,5,0.000451117876513503,0.00808763618117246,291.957750886455,2.3612480694430293,-0.445119409334223,-0.29555562786472533
all-enhancers,6,0.000469610057661863,0.697879066317596,0.1,0.0697879066317596,-0.4549756130498117,-0.30210006609059514
all-enhancers,7,0.000479071820315482,1.27167248489115,0.1,0.127167248489115,-0.4139002866639021,-0.2748263871065799
all-enhancers,8,0.000479538315988758,0.0316105097932474,26.8795981096907,0.8496777992849321,-0.37950040802618834,-0.2519851505394147
all-enhancers,9,0.000436465535756829,0.185840922926457,0.1,0.0185840922926457,-0.4923247898506966,-0.326899612387907
all-enhancers,10,0.000474046241814999,1.09068618580948,0.1,0.10906861858094802,-0.42676759425509503,-0.28337017354746286
all-enhancers,11,0.000471060526990505,2.08820910360149,0.1,0.20882091036014902,-0.3568618674417767,-0.23695334573365556
all-enhancers,12,0.000485545776092957,2.55537591926889,0.1,0.255537591926889,-0.3249723430614362,-0.21577896375234318
all-enhancers,13,0.00044145975830007,0.00400736191372385,178.64487231402,0.7158946573932641,-0.47842987410615256,-0.31767350258256577
all-enhancers,14,0.00044901706085618,0.00240844689007105,5000.0,12.04223445035525,-0.47751434692683636,-0.3170656000632962
all-enhancers,15,0.000465973844155756,0.0350360681532808,5.40584869175345,0.18939968319059772,-0.43488990257804216,-0.2887633194893353
all-enhancers,16,0.000446749790857187,0.00160021342319432,601.825947025998,0.9630499588576357,-0.49206831047320976,-0.32672931219012213
all-enhancers,17,0.000475497400216608,0.001,0.100153642687796,0.00010015364268779601,-0.5059687969567879,-0.3359591209203774
all-enhancers,18,0.000476535859539024,1.14549103534539,0.1,0.11454910353453901,-0.4228625957677028,-0.2807772866601481
all-enhancers,19,0.000476312181705758,1.38852850424154,0.1,0.13885285042415402,-0.4056357245655762,-0.26933878582751813
all-enhancers,20,0.000477311474047884,0.865999638668346,0.1,0.0865999638668346,-0.44285548318925705,-0.29405239951928963
all-enhancers,21,0.000462986338407773,1.16963844706115,0.1,0.11696384470611501,-0.4211444025656317,-0.27963642050158055
all-enhancers,22,0.00048111549144642,2.10183364903342,0.1,0.210183364903342,-0.3559241836796134,-0.23633073142555505
all-enhancers,23,0.000463671419159731,0.0191259892672663,24.7704836979624,0.47376000535222373,-0.4302835823344593,-0.2857047607224318
all-enhancers,24,0.000448471775423301,2.27643784351295,0.1,0.22764378435129504,-0.34394810057845704,-0.22837871071808535
all-enhancers,25,0.00047390656512748,3.46433156729222,0.1,0.34643315672922204,-0.2644688665350541,-0.17560515282034994
all-enhancers,26,0.000449489780861958,1.50494644537017,0.1,0.150494644537017,-0.3974359618895109,-0.263894210832033
all-enhancers,27,0.000484038914695867,1.97101363875734,0.1,0.19710136387573401,-0.36494663590618726,-0.242321565518126
all-enhancers,28,0.000458801494426039,0.00652441758203424,1661.21706297602,10.838473813256027,-0.4403131062686749,-0.2923642821483682
all-enhancers,29,0.000450204247919411,1.8032271396839,0.1,0.18032271396839,-0.37658077493838316,-0.25004653817539413
all-enhancers,30,0.00048067148137191,0.0830933606127264,3.20313667688673,0.26615939098439917,-0.3845153341633878,-0.2553150202599739
all-enhancers,31,0.000481983731537863,2.10265720134643,0.1,0.210265720134643,-0.35586751898727353,-0.23629310653575908
all-enhancers,32,0.000466549936347273,2.9640091191251,0.1,0.29640091191251,-0.29752056900149726,-0.1975512114949849
all-enhancers,33,0.000480146269024735,0.026884806849243,29.5641154126203,0.7948255325370248,-0.3943591290097648,-0.2618512190987172
all-enhancers,34,0.0004705330693916,1.68562750003314,0.1,0.168562750003314,-0.38477669077525234,-0.2554885589012831
all-enhancers,35,0.000468404621299145,2.66280165579766,0.1,0.266280165579766,-0.3177156198433053,-0.21096055920291412
all-enhancers,36,0.000474698683262932,1.47901207238869,0.1,0.147901207238869,-0.3992596984708561,-0.26510515692662273
all-enhancers,37,0.000474427848504903,3.93957831419965,0.1,0.393957831419965,-0.23364187453046092,-0.1551362836000073
all-enhancers,38,0.00047415591998206,2.30479057639148,0.1,0.230479057639148,-0.3420105160178253,-0.22709217050134878
all-enhancers,39,0.000484804755683402,2.81179432100292,0.1,0.281179432100292,-0.3076981549311286,-0.2043090448684579
all-enhancers,40,0.000483428277950363,0.0409980307598369,12.8204268718864,0.5256122552478382,-0.38189191097283803,-0.25357308883218566
all-enhancers,41,0.000478669032860542,3.06395103064511,0.1,0.306395103064511,-0.29086915164521665,-0.1931347250607801
all-enhancers,42,0.000481813411798888,1.30891533746054,0.1,0.130891533746054,-0.41126261791646557,-0.2730749967461511
all-enhancers,43,0.000478272737284585,0.00102537006125668,0.1,0.00010253700612566799,-0.5059670216472152,-0.3359579421294183
all-enhancers,44,0.00045046884779613,3.69863785173979,0.1,0.369863785173979,-0.249201515547254,-0.165467757298147
all-enhancers,45,0.000478678788852361,0.0252231271793611,17.4519417236533,0.44019254562250554,-0.4184804731514917,-0.27786759327438526
all-enhancers,46,0.000473989359954321,0.103809962794082,0.102265406121618,0.01061616800460685,-0.49819877418904546,-0.3307998896905412
all-enhancers,47,0.000475291237222115,0.00377548222582772,165.941295840766,0.6265084129776314,-0.4804222198769199,-0.3189964037925658
all-enhancers,48,0.000444577617589486,2.43683446370013,0.1,0.24368344637001302,-0.33301303597656795,-0.22111791773449763
all-enhancers,49,0.000482920392357777,2.07857782790948,0.1,0.20785778279094802,-0.35752499957306605,-0.2373936600163189
all-enhancers,50,0.000479873167450905,0.0766924027181995,3.17851438777768,0.2437679054730372,-0.3940868357224261,-0.26167041859481854
all-enhancers,51,0.00043737352129636,0.00117618845852063,1659.90103755662,1.9523564426605151,-0.49397791597444596,-0.3279972745414741
all-enhancers,52,0.000479395760800402,1.03355149681677,0.1,0.10335514968167701,-0.4308465771231442,-0.2860785846329713
all-enhancers,53,0.000472849116514335,2.68276624144203,0.1,0.268276624144203,-0.3163701305903155,-0.2100671654020294
all-enhancers,54,0.000484779010876101,0.0353783870411268,4.47210073508117,0.1582157106926093,-0.44138659399434954,-0.2930770691716107
all-enhancers,55,0.000485444987356711,0.0127047334577684,20.6918123554369,0.26288396073398473,-0.4583967258298278,-0.30437165684689593
all-enhancers,56,0.000482888011031858,3.64764233605115,0.1,0.364764233605115,-0.25251293335808866,-0.16766651149686318
all-enhancers,57,0.000478407125577935,0.02753427936966,12.0576456572328,0.3319985840666156,-0.4236508780381698,-0.2813006996061955
all-enhancers,58,0.000444257908640709,0.001,0.1,0.0001,-0.5059689084366017,-0.33595919494205717
all-enhancers,59,0.00048066221581866,1.74702949118686,0.1,0.174702949118686,-0.3804930912140163,-0.25264428401393135
all-enhancers,60,0.000491116210516227,1.49614599521052,0.1,0.14961459952105202,-0.39805463257744167,-0.2643050030818843
all-enhancers,61,0.000480549370510737,0.0218741038820037,40.9477707652791,0.8956957914561893,-0.40495186190548305,-0.26888470664418307
all-enhancers,62,0.000446466867423415,0.00116147322385978,5000.0,5.8073661192989,-0.49221705503590485,-0.3268280773567199
