2013699788.1124418	0.0
2214125.6319319997	0.016
1300471.7402070002	0.032
1196650.5457569999	0.048
1087487.0557879999	0.065
976085.2294240001	0.081
844300.8332	0.097
755882.8087960002	0.113
647101.2233709999	0.129
573907.6974029999	0.145
520589.587598	0.161
469393.45971299993	0.177
427174.4532359999	0.194
401147.797027	0.21
370563.76318699995	0.226
350340.54531899997	0.242
335028.559378	0.258
315328.678191	0.274
303752.552131	0.29
288274.180823	0.306
281056.24597099994	0.323
268418.31878999993	0.339
264626.918767	0.355
258880.08236599996	0.371
251521.231062	0.387
247915.50019400002	0.403
242796.94065799998	0.419
247326.85068499998	0.435
247221.33832500005	0.452
248626.28077000004	0.468
213989.276627	0.484
468913.560307	0.5
