bs_rep	neu_sfs	neu_call	sel_sfs	sel_call
12	831,342,258,165,139,128,121,76,96,91,63,61,86,65,75,57,52,57,49,32,47,31,45,23,46,45,43,17,33,40,40,25,18,38,18,22,26,36,25,26,25,29,17,31,26,19,12,29,32,40,23,47,26,22,39,36,16,45,39,59,56	1888233	222,80,60,29,15,16,9,14,13,8,16,11,11,4,13,10,6,3,10,4,8,4,3,3,2,6,1,0,0,1,9,15,0,4,6,5,2,0,3,0,5,1,3,0,1,2,2,0,0,0,2,3,0,10,7,10,1,1,8,4,4	826299
13	880,335,249,198,162,142,113,100,108,94,76,40,75,77,68,48,47,62,44,38,36,31,45,31,37,39,36,21,33,27,31,33,28,25,10,19,17,30,37,19,32,28,22,25,30,30,17,41,21,34,36,32,27,35,31,36,21,61,36,65,62	1878766	208,69,35,28,19,10,17,15,12,7,7,13,15,6,7,12,6,4,3,4,3,5,6,4,6,9,2,0,0,7,11,17,0,4,2,12,2,1,2,0,4,0,3,2,0,1,2,3,0,0,1,4,0,6,8,3,3,0,9,8,10	824844
14	898,332,289,215,155,155,144,100,109,77,74,55,79,61,80,56,53,66,68,38,42,43,57,32,37,46,39,23,30,38,37,36,18,33,26,19,23,27,33,15,17,44,15,23,27,29,20,34,29,36,30,36,28,32,37,39,21,63,41,60,54	1938888	210,74,58,33,20,14,11,25,10,14,11,11,15,8,5,17,2,6,4,5,8,7,3,3,3,12,4,0,0,4,8,14,2,4,2,8,3,1,4,0,8,2,3,1,1,0,2,0,0,0,3,3,0,7,11,8,3,1,4,6,7	845489
15	798,358,218,197,142,151,116,115,103,93,81,59,74,76,64,54,37,70,52,27,31,41,50,37,29,48,46,28,27,27,39,21,27,33,23,30,23,26,27,13,32,31,13,19,26,28,16,25,24,28,46,37,26,21,41,35,33,57,37,57,64	1870956	260,71,46,26,18,16,15,23,11,13,8,10,10,4,8,9,1,6,4,4,5,6,1,3,6,3,2,0,0,3,3,10,0,2,3,4,4,1,1,0,1,2,4,1,1,2,2,0,0,1,2,5,0,8,8,10,1,0,6,11,6	817951
16	873,316,207,176,149,163,114,106,111,85,74,61,68,67,60,50,36,59,52,28,28,26,55,25,39,45,31,21,35,28,45,24,24,25,18,24,18,21,44,17,38,31,17,26,31,32,19,26,19,35,24,32,26,33,38,25,17,63,31,49,50	1833307	221,68,48,28,19,13,14,13,9,11,16,13,12,11,4,9,3,3,4,3,7,4,3,5,4,7,4,0,0,3,9,10,3,4,2,7,4,1,2,0,8,4,2,1,3,1,3,1,0,1,1,5,0,3,8,13,0,2,15,5,9	820460
17	877,328,247,209,142,137,111,99,86,93,70,56,77,68,61,50,62,69,64,31,36,42,56,23,37,58,42,21,28,41,26,26,22,34,25,23,18,26,40,20,30,42,24,19,35,25,21,27,29,49,40,35,24,28,45,28,23,65,51,55,53	1925813	199,67,58,26,24,22,19,21,3,19,8,10,13,10,7,10,3,3,8,8,5,2,4,5,5,7,4,0,0,5,5,7,1,0,1,10,1,0,5,0,2,1,3,1,0,2,1,1,0,2,3,2,0,3,5,5,4,2,3,2,13	820902
18	858,344,227,199,148,143,108,81,92,97,74,50,83,67,67,58,31,62,44,29,32,35,44,23,43,44,36,25,37,41,32,30,30,27,16,23,19,27,22,16,29,33,17,27,41,36,15,26,24,42,35,58,26,30,43,31,27,68,38,55,54	1867794	200,69,55,36,12,19,14,13,6,12,10,9,16,8,10,4,2,5,8,4,7,0,5,1,2,13,4,0,0,1,4,10,3,4,3,6,1,1,2,0,3,0,3,1,0,1,4,1,0,1,3,0,0,9,4,8,5,3,15,5,3	817078
19	809,341,241,175,132,134,118,95,74,87,80,63,62,90,81,44,53,58,45,35,40,39,44,27,36,39,38,29,35,44,33,24,13,34,14,28,18,17,34,32,24,44,24,21,26,41,14,28,20,36,35,41,25,24,47,30,18,54,53,82,63	1878092	193,84,59,36,16,15,13,10,7,15,13,9,9,2,7,12,3,7,2,5,3,3,3,1,5,3,2,0,0,5,5,5,4,1,2,5,1,1,0,0,2,5,2,3,0,5,1,2,0,0,1,1,0,7,5,8,6,2,6,13,5	820589
20	840,372,259,187,141,123,135,87,97,76,72,72,89,82,61,40,58,47,49,30,37,34,49,27,41,51,29,20,41,40,40,33,25,43,23,23,29,32,22,23,27,54,24,26,34,30,16,37,29,36,33,33,28,27,28,32,21,43,35,65,50	1874061	229,62,57,21,19,15,18,20,7,12,8,12,17,7,5,8,0,3,11,6,5,6,3,1,6,10,5,0,0,2,6,8,4,2,0,9,1,0,1,0,1,4,3,2,2,0,4,0,0,1,8,2,0,6,5,9,4,3,4,2,13	813512
21	797,273,239,198,140,135,131,94,84,95,83,67,71,69,61,47,42,53,46,37,40,40,38,36,29,47,27,29,28,36,29,38,14,31,18,28,24,22,38,15,23,33,16,25,33,32,23,30,25,29,29,40,24,24,48,24,30,55,45,55,45	1822427	192,55,50,31,15,18,20,21,10,12,10,10,15,4,6,14,3,3,4,7,3,3,2,5,2,8,4,0,0,1,11,12,1,4,0,4,3,1,2,0,2,3,5,0,2,2,3,0,0,2,0,1,0,6,12,5,2,0,5,1,9	820081
22	806,361,266,183,151,133,130,89,104,102,83,65,82,79,73,48,47,63,52,37,52,39,58,29,33,57,36,22,26,32,32,20,23,39,18,31,19,20,25,14,28,43,15,21,30,27,17,29,27,43,38,44,36,16,47,35,26,67,42,67,45	1909274	213,60,48,24,12,16,10,15,11,6,2,10,16,7,6,9,2,8,13,2,8,5,5,2,5,15,3,0,0,3,12,14,6,7,3,3,1,1,1,0,5,0,4,1,0,0,2,1,0,1,2,5,0,6,10,9,4,2,11,8,8	828847
23	853,302,281,167,119,134,125,107,93,84,76,67,72,88,58,51,48,51,38,32,53,46,44,31,39,56,44,19,31,40,30,26,20,31,22,21,20,23,33,17,27,49,17,22,28,28,15,28,25,35,36,37,27,22,51,26,24,48,61,50,58	1867156	245,74,34,31,15,9,13,14,11,15,7,13,10,12,9,12,6,6,7,5,4,3,3,2,5,3,3,0,0,4,11,8,5,3,2,9,2,1,3,0,1,0,3,1,0,0,5,1,0,0,5,7,0,8,11,9,1,1,3,2,7	839596
24	877,344,263,188,154,148,123,108,97,90,85,72,78,99,65,58,50,50,59,47,31,43,58,30,50,55,47,29,37,35,31,28,20,36,18,20,23,22,41,25,27,50,20,32,30,26,21,41,28,45,29,43,29,24,38,26,19,75,51,71,51	1957585	229,65,44,25,20,21,11,18,11,10,10,14,14,5,6,9,10,5,3,4,10,4,5,5,2,13,1,0,0,3,5,7,2,1,1,5,3,1,4,0,3,2,8,1,1,0,3,2,0,0,2,3,0,3,5,8,2,1,9,9,14	836221
