1078231310.427899	0.0
450574.7726329999	0.016
304583.066482	0.032
245248.727298	0.048
207912.44130599996	0.065
181197.79698899997	0.081
158561.179005	0.097
148251.567647	0.113
129144.82687300001	0.129
115938.84805899997	0.145
108943.109622	0.161
99869.263029	0.177
91872.916651	0.194
89272.39659099997	0.21
83140.529343	0.226
80360.182304	0.242
79805.53216500001	0.258
72300.07232399998	0.274
75502.143675	0.29
67569.46422299997	0.306
72170.02546399999	0.323
64780.39731199999	0.339
70263.593976	0.355
63944.37041199999	0.371
64981.323062999996	0.387
64626.82988799998	0.403
60502.805012000004	0.419
65661.037077	0.435
57652.488278000004	0.452
68120.95908000002	0.468
60257.843549000005	0.484
39029.062751000005	0.5
