bs_rep	neu_sfs	neu_call	sel_sfs	sel_call
12	787,334,227,197,164,143,129,85,109,83,68,48,91,74,79,56,53,71,56,32,39,47,51,29,46,46,37,20,35,39,32,31,28,38,24,21,23,32,27,22,30,39,26,25,34,24,16,25,21,35,26,52,29,34,44,24,38,61,54,45,50	1840095	384,150,107,71,44,53,43,35,35,21,27,16,38,23,22,19,10,12,25,20,16,8,7,7,16,19,11,3,9,16,17,13,20,16,9,7,6,10,17,10,0,6,13,5,6,4,13,10,3,8,2,15,5,18,11,12,7,22,16,22,20	1230685
13	814,352,224,203,140,118,119,82,90,81,68,58,75,56,68,48,44,67,57,31,45,36,44,27,43,40,38,22,40,26,42,22,25,23,26,24,32,33,38,15,28,31,19,21,30,32,8,29,26,39,32,36,20,22,44,42,27,73,40,58,53	1826112	429,167,104,74,52,52,44,46,28,25,17,17,31,19,20,25,20,5,20,21,17,4,11,6,8,13,5,2,11,13,17,18,8,4,6,10,7,10,13,5,8,7,7,5,4,9,6,9,5,13,3,11,6,15,9,15,7,21,12,19,15	1226320
14	803,355,232,197,131,139,135,105,89,84,78,66,86,84,62,49,57,70,42,30,39,30,49,35,46,47,26,38,33,29,35,24,30,22,18,28,20,32,31,29,23,48,19,29,28,34,20,33,26,38,35,23,38,28,31,28,22,49,53,65,65	1869544	437,157,102,66,50,54,46,36,28,29,18,18,34,33,23,21,12,15,18,15,15,6,11,4,14,11,11,8,7,12,13,16,20,9,7,15,10,9,8,10,6,7,7,4,5,6,14,17,1,5,2,10,8,19,13,11,5,20,29,13,19	1267337
15	836,349,307,174,126,162,98,100,90,98,70,54,75,83,68,50,50,57,62,44,47,45,46,28,39,34,40,17,29,29,38,26,19,30,28,22,28,24,29,28,19,38,18,26,28,34,16,36,22,34,27,45,30,14,41,33,22,80,43,47,40	1824212	421,147,118,63,48,48,41,31,24,26,16,18,28,20,15,21,15,11,25,18,17,6,15,9,12,15,13,3,11,12,12,16,11,13,6,14,9,7,8,13,13,5,7,3,5,5,15,12,3,11,1,13,7,12,10,13,7,31,13,12,14	1237553
16	797,323,274,193,132,135,121,82,101,69,64,64,64,75,54,54,37,54,55,28,33,39,38,29,43,44,32,19,24,28,37,28,23,30,21,24,26,31,30,21,34,32,14,13,27,41,21,30,19,32,27,33,17,29,38,29,27,62,44,50,65	1758638	407,146,106,77,50,57,36,33,27,20,28,20,33,31,16,26,13,14,19,18,14,14,14,13,13,18,13,4,5,13,12,12,7,7,11,10,11,11,10,3,9,5,6,1,7,7,15,6,5,8,3,13,6,12,11,7,11,14,15,16,15	1220380
17	823,332,248,188,139,137,129,94,109,80,69,64,79,72,71,42,53,66,43,28,33,37,45,31,26,45,36,21,35,32,30,19,20,34,20,33,14,18,30,16,28,40,23,22,27,24,17,37,24,47,39,37,21,18,35,29,29,58,45,40,48	1832699	454,150,98,80,44,54,55,28,27,24,23,23,26,28,17,27,10,21,13,18,16,9,18,6,12,16,16,5,11,15,19,11,13,6,9,7,5,7,4,4,8,3,14,5,5,5,15,11,5,14,1,11,4,12,12,11,5,15,20,15,21	1261798
18	897,331,257,187,148,139,131,103,82,82,85,62,68,68,64,51,54,63,62,31,41,39,58,33,45,48,24,17,32,28,42,27,20,30,22,24,26,36,30,20,28,38,17,35,32,35,24,33,26,31,41,38,27,28,38,26,26,55,46,50,55	1847752	447,143,83,77,40,60,38,36,25,11,19,23,36,28,16,19,15,11,17,23,17,12,20,9,19,14,12,3,5,12,22,12,17,10,9,14,7,11,16,6,7,3,6,7,6,13,23,12,4,6,5,11,3,15,13,7,8,17,16,17,18	1259878
19	844,318,257,200,152,148,111,105,101,104,79,67,80,82,43,39,54,54,55,48,31,36,49,29,39,57,35,17,38,37,37,22,20,33,34,29,31,25,32,20,32,38,22,31,33,25,19,40,26,38,35,44,27,33,37,31,23,46,43,72,61	1876567	471,137,93,66,40,58,40,41,28,21,21,23,35,23,13,17,14,9,15,18,7,11,14,13,12,17,10,8,8,9,21,9,6,2,15,12,2,5,7,8,3,5,8,6,6,4,13,8,9,8,11,7,5,18,10,18,9,17,15,22,16	1246225
20	826,382,235,190,145,126,120,111,100,92,81,49,74,85,56,53,53,61,47,38,42,34,47,35,40,52,32,24,28,31,39,23,23,30,30,23,35,25,36,23,26,43,17,28,34,24,21,23,28,36,37,49,33,26,43,33,26,59,51,49,46	1871590	439,157,89,63,34,40,54,36,21,12,23,21,40,20,12,26,13,17,21,16,19,13,16,9,13,16,13,2,8,9,14,9,15,8,11,8,6,6,6,4,8,3,15,7,4,4,15,4,4,10,5,8,8,17,9,6,6,17,17,15,10	1240344
21	844,322,267,195,132,122,103,96,92,77,60,55,92,79,54,44,33,75,38,36,36,38,45,35,44,48,31,19,38,35,43,20,13,30,23,28,27,28,35,25,26,38,22,29,33,31,11,23,23,40,32,49,31,24,40,28,22,67,41,55,47	1852850	429,133,94,62,36,59,30,45,25,22,17,25,34,23,20,25,13,12,12,17,14,7,13,6,14,19,13,6,8,15,24,15,14,12,8,10,12,4,8,7,7,6,11,4,9,14,14,9,4,11,8,17,8,21,13,12,6,19,12,13,19	1239782
