bs_rep	neu_sfs	neu_call	sel_sfs	sel_call
12	525,228,130,123,82,104,91,74,48,60,29,34,41,48,24,27,23,39,32,42,23,20,14,21,16,29,19,18,11,23,22,6,14,25,9,16,12,22,12,7,15,19,19,15,21,18,5,15,21,19,11,30,17,32,10,25,11,17,27,35,45	1112204	395,206,126,74,78,54,62,41,18,50,45,19,28,24,33,30,40,6,14,36,20,13,19,5,16,13,5,11,19,6,25,7,15,16,14,11,9,12,8,16,6,10,17,4,8,8,10,8,6,12,13,21,6,18,13,4,10,10,11,28,12	843890
13	502,213,121,111,87,71,76,58,48,67,38,25,45,29,36,39,28,40,41,25,17,28,18,12,24,32,26,19,12,26,25,7,18,30,10,26,9,17,18,19,9,20,22,13,13,21,13,15,25,16,15,23,18,11,12,15,17,24,37,45,42	1070215	401,176,113,73,71,64,56,33,29,38,40,24,36,15,24,21,22,12,29,26,28,12,22,5,11,9,7,13,11,12,20,10,21,17,10,11,13,11,16,9,4,13,18,8,7,6,15,8,7,24,7,11,6,12,9,6,12,10,21,19,34	856332
14	542,228,123,104,81,93,83,62,49,62,30,23,30,42,44,26,16,39,27,28,12,38,22,9,15,36,14,17,24,15,24,6,11,18,13,22,13,28,17,10,15,21,21,9,19,13,11,10,17,14,16,20,19,15,17,21,19,33,39,31,42	1068657	408,169,133,70,85,42,66,29,35,26,38,31,40,12,34,25,24,12,24,23,29,6,16,11,19,11,11,6,11,10,25,3,21,18,7,9,17,8,17,13,3,16,5,7,9,12,10,5,3,6,6,17,7,14,14,5,14,12,19,20,20	839186
15	530,227,150,91,67,70,82,72,42,67,39,32,43,38,43,30,20,37,41,22,20,25,15,17,21,26,19,12,17,23,19,10,15,19,12,18,7,18,21,10,7,26,18,11,19,14,11,14,17,26,18,20,25,11,18,13,20,24,29,33,34	1077769	431,170,121,71,85,62,68,30,38,49,52,28,33,23,27,30,21,19,24,24,20,12,18,13,15,14,9,9,21,14,16,11,25,19,15,11,7,10,12,10,6,12,14,7,10,7,10,17,7,16,14,24,11,13,15,8,9,17,16,12,35	851603
16	485,210,147,103,85,97,72,82,68,57,27,33,42,48,39,40,22,32,34,29,14,26,18,15,18,18,22,11,16,18,24,10,15,17,10,18,14,19,21,12,6,22,11,8,22,25,11,18,19,26,13,22,26,18,17,18,24,29,22,37,35	1094644	398,167,123,75,88,55,67,31,25,40,39,24,39,18,26,32,32,9,22,35,18,12,19,10,11,12,8,8,11,10,14,4,13,20,17,13,12,15,9,13,7,15,14,15,11,10,7,6,6,17,7,15,4,10,17,5,16,8,15,22,24	843709
17	530,239,132,106,93,86,66,51,53,61,40,34,45,32,33,29,24,48,35,37,20,21,20,22,21,28,21,14,18,18,28,4,13,21,9,19,12,12,19,18,13,28,14,8,9,17,17,18,23,16,13,24,14,19,12,20,14,30,27,39,48	1077848	440,177,139,54,75,53,61,33,37,31,42,23,42,21,26,22,34,14,19,20,19,8,21,12,21,9,10,6,21,11,19,6,15,10,11,7,6,16,22,11,6,10,14,12,8,8,8,7,3,17,10,17,7,13,15,8,17,9,17,14,29	842541
18	494,229,125,116,80,102,82,63,52,68,28,27,50,46,40,37,16,45,40,35,20,20,19,23,23,26,20,11,17,26,27,7,19,16,14,19,17,14,17,15,14,25,11,10,16,21,15,22,17,14,18,27,23,18,14,19,14,24,28,33,35	1096585	373,170,126,91,70,57,67,29,43,32,41,23,38,15,26,28,24,11,18,20,27,8,17,6,14,9,10,21,13,9,22,12,14,17,16,7,14,10,9,11,4,6,15,7,9,5,9,10,6,11,6,19,12,23,12,9,8,8,18,9,23	852538
19	499,232,142,108,56,96,83,61,42,56,25,27,43,39,48,35,25,33,35,28,16,32,16,13,14,26,16,8,18,23,30,4,11,21,10,10,13,16,16,17,11,25,15,8,16,15,10,13,12,11,10,27,21,21,19,13,19,30,18,37,35	1089683	416,155,129,76,71,52,69,25,32,26,50,21,24,19,28,31,29,10,24,35,12,14,19,13,12,7,8,13,15,11,17,10,19,13,15,8,5,15,12,15,5,12,17,7,11,7,8,11,2,12,5,12,11,6,20,8,12,17,15,14,18	811961
20	515,214,123,113,70,93,77,61,41,78,33,36,50,30,42,39,29,43,45,33,28,14,22,14,22,25,19,14,17,12,29,11,11,17,10,14,17,14,16,15,17,20,10,11,25,14,12,24,26,18,12,24,23,14,13,20,21,25,31,38,36	1086483	363,175,129,80,76,41,63,22,31,46,61,26,31,21,16,24,25,14,23,22,19,8,15,11,15,11,15,3,17,11,23,6,20,22,20,14,13,12,11,10,3,17,8,9,10,10,12,8,5,13,8,8,10,12,9,2,8,10,10,18,29	829502
21	506,222,152,107,78,87,86,52,36,65,33,27,44,44,40,40,23,53,37,35,21,44,16,14,19,23,24,17,12,12,30,10,19,26,15,25,14,14,10,13,16,22,9,3,21,21,17,21,21,21,15,28,23,15,17,18,14,33,27,36,40	1084290	369,177,122,87,91,47,70,35,29,49,30,21,36,24,20,17,27,15,17,22,13,4,18,14,11,12,12,7,11,15,20,8,21,16,13,15,13,11,15,13,5,12,7,5,8,7,11,8,7,15,12,19,10,10,11,7,12,12,14,20,29	823913
22	569,213,148,109,69,85,52,69,59,65,33,29,54,34,36,26,29,45,48,41,23,26,13,23,26,24,26,18,17,20,37,19,16,20,18,19,16,24,20,13,11,25,11,9,19,21,12,14,29,18,12,24,18,24,17,18,13,21,27,37,37	1101356	446,187,141,83,77,64,78,38,39,42,37,21,31,14,32,28,24,11,23,38,15,8,17,10,11,18,7,10,16,12,23,6,26,12,21,8,13,12,18,10,2,18,8,10,5,5,6,7,4,14,9,13,5,9,10,14,8,12,17,14,34	863359
23	490,216,123,87,69,72,57,68,48,67,30,35,45,33,31,21,17,36,32,33,27,30,29,17,10,27,20,17,15,13,26,7,16,9,16,28,11,22,16,13,13,20,10,12,17,15,10,15,22,11,6,27,21,17,16,20,10,26,43,32,38	1089349	388,144,122,67,74,57,48,32,38,23,39,12,30,20,28,24,24,21,24,27,17,0,14,15,16,8,10,4,14,12,25,10,17,14,6,9,10,9,16,7,5,14,10,8,13,6,6,8,6,27,12,19,12,25,13,10,2,8,17,21,30	821920
24	490,215,134,79,79,73,74,73,48,47,23,30,52,46,31,27,24,30,23,27,18,24,20,9,12,32,14,10,14,16,39,4,27,12,18,24,15,15,14,11,5,18,12,9,12,20,6,22,17,15,25,20,13,24,11,21,18,35,31,33,35	1061951	412,171,122,82,92,43,57,27,39,44,45,25,40,6,25,23,29,9,13,23,21,7,23,8,20,11,6,13,10,9,19,7,11,14,8,6,8,12,10,8,7,14,11,8,9,6,12,2,8,14,8,20,9,12,17,11,8,8,22,18,34	841893
25	536,242,136,105,85,90,88,60,55,82,38,27,60,39,35,38,27,27,39,39,20,29,21,15,16,30,15,10,20,25,29,17,16,22,10,17,16,16,14,18,7,27,18,10,17,15,10,15,12,12,20,24,19,22,8,14,13,31,24,30,35	1134567	378,201,116,79,98,61,55,35,30,33,41,18,28,15,20,30,27,11,21,31,28,7,15,10,16,10,10,7,17,13,23,8,18,13,8,13,7,6,12,12,6,14,12,12,10,12,7,3,7,12,8,20,10,15,16,8,11,13,12,13,22	845537
26	525,218,146,101,80,89,81,67,46,74,35,33,55,32,38,39,27,46,41,25,16,26,18,19,25,31,17,20,15,17,25,4,10,14,11,18,14,21,13,11,12,24,10,9,16,14,17,15,26,16,18,17,19,25,12,24,19,24,34,36,35	1092513	364,188,149,71,72,63,58,29,40,48,40,25,41,13,25,27,31,12,22,32,19,5,14,12,14,12,9,5,18,13,24,9,21,10,20,11,11,7,14,15,6,16,12,13,10,10,16,10,5,14,3,14,3,19,18,11,12,11,13,7,35	837922
