1488127722.020295	0.0
1249338.0129530004	0.016
647225.8225030003	0.032
526265.382783	0.048
440565.5190300001	0.065
380978.6951790001	0.081
326070.80547300004	0.097
295222.796506	0.113
254428.385033	0.129
227673.480503	0.145
209685.197742	0.161
191985.08267200005	0.177
176030.390636	0.194
167938.502257	0.21
154915.13359999997	0.226
149795.905318	0.242
143447.379169	0.258
137497.90993999998	0.274
132478.510809	0.29
128249.81329600001	0.306
124854.65149	0.323
121580.95222499999	0.339
120229.57465699998	0.355
116563.487776	0.371
115386.73253399998	0.387
113140.141805	0.403
111763.33857700002	0.419
112281.337985	0.435
112143.75796099995	0.452
118168.73056199998	0.468
110647.853421	0.484
87924.69527799997	0.5
